timestamp,source_id,source_name,url,output_path,http_status,result,notes
2026-05-19T02:22:21Z,EDU_0015,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1050,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0015.pdf,200,downloaded,
2026-05-19T02:22:22Z,EDU_0016,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=29,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0016.pdf,200,downloaded,
2026-05-19T02:22:23Z,EDU_0017,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1060,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0017.pdf,200,downloaded,
2026-05-19T02:22:25Z,EDU_0018,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=38,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0018.pdf,200,downloaded,
2026-05-19T02:22:26Z,EDU_0019,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1063,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0019.pdf,200,downloaded,
2026-05-19T02:22:27Z,EDU_0020,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10634,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0020.pdf,200,downloaded,
2026-05-19T02:22:35Z,EDU_0011,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10812,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0011.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0012,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10650,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0012.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0013,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1065,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0013.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0014,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10677,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0014.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0015,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1050,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0015.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0016,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=29,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0016.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0017,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1060,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0017.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0018,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=38,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0018.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0019,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1063,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0019.pdf,file_exists,skipped,
2026-05-19T02:22:35Z,EDU_0020,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10634,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0020.pdf,file_exists,skipped,
2026-05-19T02:22:39Z,EDU_0011,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10812,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0011.pdf,file_exists,skipped,
2026-05-19T02:22:39Z,EDU_0012,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10650,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0012.pdf,file_exists,skipped,
2026-05-19T02:22:39Z,EDU_0013,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1065,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0013.pdf,file_exists,skipped,
2026-05-19T02:22:39Z,EDU_0014,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10677,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0014.pdf,file_exists,skipped,
2026-05-19T02:22:39Z,EDU_0015,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1050,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0015.pdf,file_exists,skipped,
2026-05-19T02:22:40Z,EDU_0016,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=29,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0016.pdf,file_exists,skipped,
2026-05-19T02:22:40Z,EDU_0017,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1060,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0017.pdf,file_exists,skipped,
2026-05-19T02:22:40Z,EDU_0018,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=38,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0018.pdf,file_exists,skipped,
2026-05-19T02:22:40Z,EDU_0019,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=1063,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0019.pdf,file_exists,skipped,
2026-05-19T02:22:40Z,EDU_0020,CDC Nepal E-Library,https://lib.moecdc.gov.np/elibrary/?r=10634,/Volumes/EX-SSD/data_collection_for_edu_domain/data/raw/cdc_elibrary/EDU_0020.pdf,file_exists,skipped,
