source_id,source_name,module_id,module_url,grade,subject,subdomain,module_slug,has_data_xml,has_data_np_xml,page_count,js_asset_count,exercise_asset_count,html_asset_count,data_type,language_type,module_title_en,module_title_ne,discovered_at,last_seen_at,status,notes
EPAATH_grade1__english__simple_greetings,OLE Nepal E-Paath,grade1/english/simple_greetings,https://epaath.olenepal.org/activity/grade1/english/simple_greetings/,1,english,english_language,simple_greetings,1,1,4,1,0,4,bilingual_module,en-ne,Simple Greetings,Measurement,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,extracted,early_grade_learning_candidate
EPAATH_grade1__english__wave_your_hands,OLE Nepal E-Paath,grade1/english/wave_your_hands,https://epaath.olenepal.org/activity/grade1/english/wave_your_hands/,1,english,english_language,wave_your_hands,1,0,3,1,0,4,monolingual_module,en,Wave your hands,,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,extracted,early_grade_learning_candidate
EPAATH_grade1__english__where_is_my_friend_new,OLE Nepal E-Paath,grade1/english/where_is_my_friend_new,https://epaath.olenepal.org/activity/grade1/english/where_is_my_friend_new/,1,english,english_language,where_is_my_friend_new,1,0,3,1,0,4,monolingual_module,en,Where is my friend?,,2026-05-19T04:37:49Z,2026-05-19T04:56:40Z,extracted,early_grade_learning_candidate
EPAATH_grade1__math__adding_three_numbers,OLE Nepal E-Paath,grade1/math/adding_three_numbers,https://epaath.olenepal.org/activity/grade1/math/adding_three_numbers/,1,math,mathematics,adding_three_numbers,1,1,3,1,0,4,bilingual_module,en-ne,Adding Three Numbers,तीनओटा सङ्ख्याहरूको जोड,2026-05-19T04:37:50Z,2026-05-19T04:56:40Z,extracted,early_grade_learning_candidate
EPAATH_grade1__math__adding_upto_hundred,OLE Nepal E-Paath,grade1/math/adding_upto_hundred,https://epaath.olenepal.org/activity/grade1/math/adding_upto_hundred/,1,math,mathematics,adding_upto_hundred,1,1,3,1,0,4,bilingual_module,en-ne,Adding upto hundred,सय सम्मको जोड,2026-05-19T04:37:50Z,2026-05-19T04:56:40Z,extracted,early_grade_learning_candidate
EPAATH_grade1__math__basicaddition,OLE Nepal E-Paath,grade1/math/basicaddition,https://epaath.olenepal.org/activity/grade1/math/basicaddition/,1,math,mathematics,basicaddition,1,1,3,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__basicdivision,OLE Nepal E-Paath,grade1/math/basicdivision,https://epaath.olenepal.org/activity/grade1/math/basicdivision/,1,math,mathematics,basicdivision,1,1,3,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__basicsubtraction,OLE Nepal E-Paath,grade1/math/basicsubtraction,https://epaath.olenepal.org/activity/grade1/math/basicsubtraction/,1,math,mathematics,basicsubtraction,1,1,1,1,0,1,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__basicsubtraction_new,OLE Nepal E-Paath,grade1/math/basicsubtraction_new,https://epaath.olenepal.org/activity/grade1/math/basicsubtraction_new/,1,math,mathematics,basicsubtraction_new,1,1,3,1,0,4,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__capacity_i,OLE Nepal E-Paath,grade1/math/capacity_i,https://epaath.olenepal.org/activity/grade1/math/capacity_i/,1,math,mathematics,capacity_i,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__fractions,OLE Nepal E-Paath,grade1/math/fractions,https://epaath.olenepal.org/activity/grade1/math/fractions/,1,math,mathematics,fractions,1,1,3,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__geometric_shapes_new,OLE Nepal E-Paath,grade1/math/geometric_shapes_new,https://epaath.olenepal.org/activity/grade1/math/geometric_shapes_new/,1,math,mathematics,geometric_shapes_new,1,1,7,1,1,8,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__measurement,OLE Nepal E-Paath,grade1/math/measurement,https://epaath.olenepal.org/activity/grade1/math/measurement/,1,math,mathematics,measurement,1,1,3,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__multiplication,OLE Nepal E-Paath,grade1/math/multiplication,https://epaath.olenepal.org/activity/grade1/math/multiplication/,1,math,mathematics,multiplication,1,1,3,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__multiplication_table,OLE Nepal E-Paath,grade1/math/multiplication_table,https://epaath.olenepal.org/activity/grade1/math/multiplication_table/,1,math,mathematics,multiplication_table,1,1,2,1,0,2,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__numbers_fifty_to_hundred_new,OLE Nepal E-Paath,grade1/math/numbers_fifty_to_hundred_new,https://epaath.olenepal.org/activity/grade1/math/numbers_fifty_to_hundred_new/,1,math,mathematics,numbers_fifty_to_hundred_new,1,1,7,1,1,8,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__numbers_one_to_fifty_new,OLE Nepal E-Paath,grade1/math/numbers_one_to_fifty_new,https://epaath.olenepal.org/activity/grade1/math/numbers_one_to_fifty_new/,1,math,mathematics,numbers_one_to_fifty_new,1,1,5,1,1,6,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
